TREEID,ONSTREET,CROSSSTREE,CROSSSTR_1,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE
186,TRINITY PLACE,THAMES STREET,RECTOR PLACE,1,6,PYCA,Manhattan,10006
188,TRINITY PLACE,THAMES STREET,RECTOR PLACE,1,5,PYCA,Manhattan,10006
190,WASHINGTON STREET,BATTERY PLACE,MORRIS STREET,1,4,GLTR,Manhattan,10004
192,WASHINGTON STREET,BATTERY PLACE,MORRIS STREET,2,10,GLTR,Manhattan,10004
194,WASHINGTON STREET,BATTERY PLACE,MORRIS STREET,2,3,GLTR,Manhattan,10004
196,GREENWICH STREET,MORRIS STREET,EXCHANGE ALLEY,2,15,PLAC,Manhattan,10006
185,TRINITY PLACE,THAMES STREET,RECTOR PLACE,2,4,PYCA,Manhattan,10006
187,TRINITY PLACE,THAMES STREET,RECTOR PLACE,1,7,PYCA,Manhattan,10006
189,WASHINGTON STREET,BATTERY PLACE,MORRIS STREET,1,9,GLTR,Manhattan,10004
191,WASHINGTON STREET,BATTERY PLACE,MORRIS STREET,2,15,PLAC,Manhattan,10004
193,WASHINGTON STREET,BATTERY PLACE,MORRIS STREET,2,8,GLTR,Manhattan,10004
195,WASHINGTON STREET,BATTERY PLACE,MORRIS STREET,2,4,GLTR,Manhattan,10004
197,GREENWICH STREET,MORRIS STREET,EXCHANGE ALLEY,2,5,GLTR,Manhattan,10006
198,GREENWICH STREET,MORRIS STREET,EXCHANGE ALLEY,2,7,GLTR,Manhattan,10006
200,GREENWICH STREET,MORRIS STREET,BATTERY PLACE,3,2,UNK,Manhattan,10004
202,GREENWICH STREET,MORRIS STREET,BATTERY PLACE,3,2,UNK,Manhattan,10004
204,GREENWICH STREET,MORRIS STREET,BATTERY PLACE,3,3,GLTR,Manhattan,10004
199,GREENWICH STREET,MORRIS STREET,BATTERY PLACE,3,2,UNK,Manhattan,10004
201,GREENWICH STREET,MORRIS STREET,BATTERY PLACE,2,3,GLTR,Manhattan,10004
203,GREENWICH STREET,MORRIS STREET,BATTERY PLACE,3,2,UNK,Manhattan,10004
205,GREENWICH STREET,MORRIS STREET,BATTERY PLACE,3,2,UNK,Manhattan,10004
1261,RECTOR PLACE,WASHINGTON STREET,WEST STREET,2,3,GLTR,Manhattan,10006
1265,WASHINGTON STREET,RECTOR PLACE,JOSEPH P WARD STREET,1,4,PYCA,Manhattan,10006
1267,WASHINGTON STREET,RECTOR PLACE,JOSEPH P WARD STREET,1,4,PYCA,Manhattan,10006
1269,WEST STREET,ALBANY STREET,CARLISLE STREET,1,5,STJA2,Manhattan,10006
1271,WEST STREET,BARCLAY STREET,MURRAY STREET,2,4,GLTR,Manhattan,10007
1273,WEST STREET,BARCLAY STREET,MURRAY STREET,1,5,GLTR,Manhattan,10007
1275,WEST STREET,BARCLAY STREET,MURRAY STREET,1,4,GLTR,Manhattan,10007
1277,MURRAY STREET,WEST STREET,GREENWICH STREET,2,11,QUPA,Manhattan,10007
1276,MURRAY STREET,WEST STREET,GREENWICH STREET,2,3,QUPA,Manhattan,10007
1278,MURRAY STREET,WEST STREET,GREENWICH STREET,2,10,QUPA,Manhattan,10007
1280,MURRAY STREET,WEST STREET,GREENWICH STREET,3,11,QUPA,Manhattan,10007
1282,MURRAY STREET,WEST STREET,GREENWICH STREET,2,10,QUPA,Manhattan,10007
1109,READE STREET,HUDSON STREET,GREENWICH STREET,2,12,PYCA,Manhattan,10013
1108,READE STREET,HUDSON STREET,GREENWICH STREET,2,9,PYCA,Manhattan,10013
1110,READE STREET,HUDSON STREET,GREENWICH STREET,2,16,PYCA,Manhattan,10013
1112,READE STREET,HUDSON STREET,GREENWICH STREET,2,16,PYCA,Manhattan,10013
1111,READE STREET,HUDSON STREET,GREENWICH STREET,2,11,PYCA,Manhattan,10013
1113,READE STREET,HUDSON STREET,GREENWICH STREET,1,4,MEGL,Manhattan,10013
1249,WARREN STREET,GREENWICH STREET,WEST BROADWAY,1,9,GLTR,Manhattan,10007
1251,WARREN STREET,GREENWICH STREET,WEST BROADWAY,1,8,GLTR,Manhattan,10007
1253,WARREN STREET,GREENWICH STREET,WEST BROADWAY,3,5,GLTR,Manhattan,10007
1255,GREENWICH STREET,CHAMBERS STREET,WARREN STREET,1,4,ACPL,Manhattan,10007
1250,WARREN STREET,GREENWICH STREET,WEST BROADWAY,1,7,GLTR,Manhattan,10007
1252,WARREN STREET,GREENWICH STREET,WEST BROADWAY,2,8,GLTR,Manhattan,10007
1254,WARREN STREET,GREENWICH STREET,WEST BROADWAY,2,11,GLTR,Manhattan,10007
1256,GREENWICH STREET,CHAMBERS STREET,WARREN STREET,2,3,QUAC,Manhattan,10007
1258,GREENWICH STREET,CHAMBERS STREET,WARREN STREET,1,8,QUPA,Manhattan,10007
1257,GREENWICH STREET,CHAMBERS STREET,WARREN STREET,1,8,QUPA,Manhattan,10007
1260,RECTOR PLACE,WASHINGTON STREET,WEST STREET,1,3,GLTR,Manhattan,10006
1263,RECTOR PLACE,WASHINGTON STREET,WEST STREET,2,3,GLTR,Manhattan,10006
1266,WASHINGTON STREET,RECTOR PLACE,JOSEPH P WARD STREET,1,4,PYCA,Manhattan,10006
1268,WEST STREET,ALBANY STREET,CARLISLE STREET,1,5,STJA2,Manhattan,10006
1270,WEST STREET,ALBANY STREET,CARLISLE STREET,2,4,STJA2,Manhattan,10006
1272,WEST STREET,BARCLAY STREET,MURRAY STREET,2,4,GLTR,Manhattan,10007
1274,WEST STREET,BARCLAY STREET,MURRAY STREET,1,5,GLTR,Manhattan,10007
1284,MURRAY STREET,WEST STREET,GREENWICH STREET,1,7,GIBI,Manhattan,10007
1286,MURRAY STREET,WEST STREET,GREENWICH STREET,1,10,GIBI,Manhattan,10007
1288,MURRAY STREET,WEST STREET,GREENWICH STREET,1,7,GIBI,Manhattan,10007
1290,MURRAY STREET,WEST STREET,GREENWICH STREET,2,8,GIBI,Manhattan,10007
1279,MURRAY STREET,WEST STREET,GREENWICH STREET,2,4,QUPA,Manhattan,10007
1281,MURRAY STREET,WEST STREET,GREENWICH STREET,1,5,QUPA,Manhattan,10007
1283,MURRAY STREET,WEST STREET,GREENWICH STREET,2,6,GIBI,Manhattan,10007
1285,MURRAY STREET,WEST STREET,GREENWICH STREET,1,8,GIBI,Manhattan,10007
1287,MURRAY STREET,WEST STREET,GREENWICH STREET,1,7,GIBI,Manhattan,10007
1289,MURRAY STREET,WEST STREET,GREENWICH STREET,1,6,GIBI,Manhattan,10007
1291,MURRAY STREET,WEST STREET,GREENWICH STREET,2,6,GIBI,Manhattan,10007
1293,MURRAY STREET,WEST STREET,GREENWICH STREET,1,7,GIBI,Manhattan,10007
1292,MURRAY STREET,WEST STREET,GREENWICH STREET,1,6,GIBI,Manhattan,10007
1294,MURRAY STREET,WEST STREET,GREENWICH STREET,1,6,GIBI,Manhattan,10007
1296,GREENWICH STREET,PARK PLACE,MURRAY STREET,1,5,GLTR,Manhattan,10007
1298,GREENWICH STREET,PARK PLACE,MURRAY STREET,2,6,GLTR,Manhattan,10007
1300,GREENWICH STREET,WARREN STREET,MURRAY STREET,2,5,GLTR,Manhattan,10007
1302,GREENWICH STREET,WARREN STREET,MURRAY STREET,2,5,GLTR,Manhattan,10007
1304,GREENWICH STREET,WARREN STREET,MURRAY STREET,2,7,GLTR,Manhattan,10007
1584,WARREN STREET,GREENWICH STREET,WEST STREET,2,9,ULAM,Manhattan,10007
1295,GREENWICH STREET,PARK PLACE,MURRAY STREET,1,5,GLTR,Manhattan,10007
1297,GREENWICH STREET,PARK PLACE,MURRAY STREET,1,6,GLTR,Manhattan,10007
1299,GREENWICH STREET,WARREN STREET,MURRAY STREET,2,5,GLTR,Manhattan,10007
1301,GREENWICH STREET,WARREN STREET,MURRAY STREET,2,5,GLTR,Manhattan,10007
1303,GREENWICH STREET,WARREN STREET,MURRAY STREET,2,5,GLTR,Manhattan,10007
1583,WARREN STREET,GREENWICH STREET,WEST STREET,3,8,ULAM,Manhattan,10007
1585,WARREN STREET,GREENWICH STREET,WEST STREET,1,9,QUPA,Manhattan,10007
1587,WARREN STREET,GREENWICH STREET,WEST STREET,1,10,QUPA,Manhattan,10007
1586,WARREN STREET,GREENWICH STREET,WEST STREET,1,9,QUPA,Manhattan,10007
1588,WARREN STREET,GREENWICH STREET,WEST STREET,1,8,QUPA,Manhattan,10007
1590,READE STREET,HUDSON STREET,GREENWICH STREET,1,6,PYCA,Manhattan,10013
1592,READE STREET,HUDSON STREET,GREENWICH STREET,1,7,PYCA,Manhattan,10013
1594,READE STREET,HUDSON STREET,GREENWICH STREET,1,11,PYCA,Manhattan,10013
1596,READE STREET,HUDSON STREET,GREENWICH STREET,1,11,PYCA,Manhattan,10013
1598,GREENWICH STREET,CHAMBERS STREET,READE STREET,1,4,GLTR,Manhattan,10013
1600,GREENWICH STREET,CHAMBERS STREET,READE STREET,1,12,PYCA,Manhattan,10013
1589,WARREN STREET,GREENWICH STREET,WEST STREET,1,8,QUPA,Manhattan,10007
1591,READE STREET,HUDSON STREET,GREENWICH STREET,1,5,PYCA,Manhattan,10013
1593,READE STREET,HUDSON STREET,GREENWICH STREET,1,12,PYCA,Manhattan,10013
1595,READE STREET,HUDSON STREET,GREENWICH STREET,1,13,PYCA,Manhattan,10013
1597,READE STREET,HUDSON STREET,GREENWICH STREET,1,13,PYCA,Manhattan,10013
1599,GREENWICH STREET,CHAMBERS STREET,READE STREET,1,4,GLTR,Manhattan,10013
1601,GREENWICH STREET,CHAMBERS STREET,READE STREET,1,13,PYCA,Manhattan,10013
1603,CHAMBERS STREET,GREENWICH STREET,WEST BROADWAY,1,2,PYCA,Manhattan,10007
1602,GREENWICH STREET,CHAMBERS STREET,READE STREET,1,13,PYCA,Manhattan,10013
1604,CHAMBERS STREET,GREENWICH STREET,WEST BROADWAY,1,2,PYCA,Manhattan,10007
1606,CHAMBERS STREET,GREENWICH STREET,WEST BROADWAY,1,6,PYCA,Manhattan,10007
1608,HUDSON STREET,READE STREET,CHAMBERS STREET,1,6,PYCA,Manhattan,10013
1611,CHAMBERS STREET,HUDSON STREET,GREENWICH STREET,2,3,TIAM,Manhattan,10007
1613,CHAMBERS STREET,HUDSON STREET,GREENWICH STREET,1,8,GLTR,Manhattan,10007
1617,CHAMBERS STREET,HUDSON STREET,GREENWICH STREET,2,6,GLTR,Manhattan,10007
1620,GREENWICH STREET,WARREN STREET,CHAMBERS STREET,1,9,GLTR,Manhattan,10007
1605,CHAMBERS STREET,GREENWICH STREET,WEST BROADWAY,2,5,PYCA,Manhattan,10007
1607,HUDSON STREET,READE STREET,CHAMBERS STREET,1,6,PYCA,Manhattan,10013
1609,HUDSON STREET,READE STREET,CHAMBERS STREET,1,8,PYCA,Manhattan,10013
1612,CHAMBERS STREET,HUDSON STREET,GREENWICH STREET,1,6,GLTR,Manhattan,10007
1615,CHAMBERS STREET,HUDSON STREET,GREENWICH STREET,2,8,GLTR,Manhattan,10007
1618,CHAMBERS STREET,HUDSON STREET,GREENWICH STREET,1,7,GLTR,Manhattan,10007
1622,GREENWICH STREET,WARREN STREET,CHAMBERS STREET,1,8,GLTR,Manhattan,10007
1624,GREENWICH STREET,WARREN STREET,CHAMBERS STREET,1,8,GLTR,Manhattan,10007
1623,GREENWICH STREET,WARREN STREET,CHAMBERS STREET,1,9,GLTR,Manhattan,10007
1626,GREENWICH STREET,WARREN STREET,CHAMBERS STREET,1,8,GLTR,Manhattan,10007
1631,GREENWICH STREET,WARREN STREET,CHAMBERS STREET,2,9,GLTR,Manhattan,10007
1630,GREENWICH STREET,WARREN STREET,CHAMBERS STREET,1,8,GLTR,Manhattan,10007
232,BEDFORD STREET,GROVE STREET,CHRISTOPHER STREET,1,7,FRPE,Manhattan,10014
234,BEDFORD STREET,GROVE STREET,CHRISTOPHER STREET,1,8,FRPE,Manhattan,10014
236,BEDFORD STREET,GROVE STREET,CHRISTOPHER STREET,1,8,TICO,Manhattan,10014
238,BEDFORD STREET,GROVE STREET,CHRISTOPHER STREET,2,8,TICO,Manhattan,10014
240,GROVE STREET,BEDFORD STREET,HUDSON STREET,1,2,ZESE,Manhattan,10014
244,GROVE STREET,BEDFORD STREET,HUDSON STREET,1,13,PLAC,Manhattan,10014
246,WEST    4 STREET,7 AVENUE SOUTH,GROVE STREET,7,0,,Manhattan,10014
231,BEDFORD STREET,GROVE STREET,CHRISTOPHER STREET,1,7,FRPE,Manhattan,10014
233,BEDFORD STREET,GROVE STREET,CHRISTOPHER STREET,1,7,FRPE,Manhattan,10014
235,BEDFORD STREET,GROVE STREET,CHRISTOPHER STREET,1,6,FRPE,Manhattan,10014
237,BEDFORD STREET,GROVE STREET,CHRISTOPHER STREET,1,9,SYRE,Manhattan,10014
239,GROVE COURT,BEDFORD STREET,HUDSON STREET,3,8,TICO,Manhattan,10014
242,GROVE STREET,BEDFORD STREET,HUDSON STREET,1,11,GIBI,Manhattan,10014
243,GROVE STREET,BEDFORD STREET,HUDSON STREET,1,12,PLAC,Manhattan,10014
245,GROVE STREET,BEDFORD STREET,HUDSON STREET,1,7,PR,Manhattan,10014
247,WEST    4 STREET,7 AVENUE SOUTH,GROVE STREET,7,0,,Manhattan,10014
249,BLEECKER STREET,GROVE STREET,CHRISTOPHER STREET,2,7,TICO,Manhattan,10014
248,7 AVENUE SOUTH,GROVE STREET,BLEECKER STREET,2,14,PYCA,Manhattan,10014
287,7 AVENUE SOUTH,BARROW STREET,GROVE STREET,1,2,STJA2,Manhattan,10014
273,WEST  155 STREET,BROADWAY,RIVERSIDE DRIVE,1,12,TICO,Manhattan,10012
288,7 AVENUE SOUTH,BARROW STREET,GROVE STREET,1,2,STJA2,Manhattan,10014
290,BLEECKER STREET,GROVE STREET,7 AVENUE SOUTH,2,16,TICO,Manhattan,10014
289,7 AVENUE SOUTH,BARROW STREET,GROVE STREET,2,6,STJA2,Manhattan,10014
291,BLEECKER STREET,GROVE STREET,7 AVENUE SOUTH,2,14,TICO,Manhattan,10014
293,GROVE STREET,BEDFORD STREET,HUDSON STREET,1,2,GIBI,Manhattan,10014
295,GROVE STREET,BEDFORD STREET,HUDSON STREET,3,6,FRPE,Manhattan,10014
297,BEDFORD STREET,GROVE STREET,CHRISTOPHER STREET,1,7,FRPE,Manhattan,10014
299,BEDFORD STREET,GROVE STREET,CHRISTOPHER STREET,1,7,FRPE,Manhattan,10014
301,BEDFORD STREET,GROVE STREET,CHRISTOPHER STREET,1,9,PYCA,Manhattan,10014
303,BEDFORD STREET,GROVE STREET,CHRISTOPHER STREET,2,9,PYCA,Manhattan,10014
